id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
31079,FCBP,small_airport,"M'passa Airport",-4.367000102996826,14.149999618530273,1115,AF,"Republic of the Congo",CG,"Pool Department",CG-12,12,M'passa,0,FCBP,,,,,,,50,2008-08-03T11:29:22+00:00
31760,FCPA,small_airport,"Makabana Airport",-3.483,12.617,495,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Makabana,0,FCPA,FCPA,KMK,,,https://en.wikipedia.org/wiki/Makabana_Airport,,50,2024-05-16T19:25:42+00:00
31917,FCOM,small_airport,"Makoua Airport",-0.020842,15.577746,1293,AF,"Republic of the Congo",CG,"Cuvette Department",CG-8,8,Makoua,0,FCOM,FCOM,MKJ,,,https://en.wikipedia.org/wiki/Makoua_Airport,,50,2025-03-22T21:04:38+00:00
31091,FCMO,small_airport,"Mandoro Airport",-2.6500000953674316,12.883000373840332,1772,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Mandoro,0,FCMO,,,,,,,50,2008-08-03T11:29:54+00:00
31092,FCMR,small_airport,"Marala Airport",-2.9000000953674316,12.633000373840332,1535,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Marala,0,FCMR,,,,,,,50,2008-08-03T11:29:55+00:00
321378,CG-0001,small_airport,"Matoko Airport",-1.012216,17.104403,0,AF,"Republic of the Congo",CG,"Likouala Department",CG-7,7,Matoko,0,,,,,,,,50,2016-12-03T16:39:16+00:00
31082,FCMA,small_airport,"Mavinza Airport",-2.450000047683716,11.649999618530273,509,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Mavinza,0,FCMA,,,,,,,50,2008-08-03T11:29:33+00:00
333204,CG-0003,small_airport,"Mokabi Airport",3.278863,16.756092,1664,AF,"Republic of the Congo",CG,"Likouala Department",CG-7,7,Mokabi,0,,,,,,,,50,2020-02-08T16:13:53+00:00
31971,FCBM,small_airport,"Mouyondzi Airport",-4.014874,13.966112,1670,AF,"Republic of the Congo",CG,"Bouenza Department",CG-11,11,Mouyondzi,0,FCBM,FCBM,MUY,,,https://en.wikipedia.org/wiki/Mouyondzi_Airport,,50,2024-05-16T19:23:24+00:00
31090,FCMN,small_airport,"N'gongo Airport",-2.9830000400543213,12.199999809265137,906,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,N'gongo,0,FCMN,,,,,,,50,2008-08-03T11:29:52+00:00
